theta,unattCRF,attCRF
123,1.58844370678758,1.85226775690265
124,1.53552052826113,1.79055478377001
125,1.48394252117217,1.73041038632938
126,1.43369285241708,1.67181493626003
127,1.38475417645697,1.61474820769008
128,1.33710867066427,1.55918941841294
129,1.29073807014721,1.50511727049498
130,1.24562370201418,1.45250999023009
131,1.20174651904209,1.40134536739922
132,1.15908713271529,1.35160079379616
133,1.1176258456037,1.30325330098262
134,1.07734268305106,1.25627959723912
135,1.03821742414663,1.21065610368013
136,1.00022963195545,1.16635898950489
137,0.963358682985008,1.12336420635773
138,0.927583795867815,1.08164752177415
139,0.892884059241814,1.04118455169154
140,0.859238458812567,1.00195079200584
141,0.826625903583174,0.96392164915775
142,0.795025251239948,0.927072469734484
143,0.764415332683789,0.891378569075395
144,0.734774975699164,0.856815258872025
145,0.70608302775445,0.823357873755252
146,0.678318377929198,0.790981796864401
147,0.651459977965658,0.759662484395217
148,0.625486862443621,0.729375489125545
149,0.600378168079231,0.70009648291954
150,0.576113152150063,0.671801278213043
