Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	PresentedDurFrames	PresentedDurMs	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	LateralShiftDir	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
312	SubfieldSwap_AperSweep_Ap25_v1	CUED	1	270	225	5	1	77	68	95	97	163	2	22.222	1242877731	654887974	747893887	1145529876	R	N	Da			XR Controller	B26BFD87	18E36AFB	E9223BFB			
313	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	1	180	180	6	4	111	68	95	117	163	22	244.444	462843734	28477807	2144439830	1353992498	G	N	D			XR Controller	0FE1E8D7	FF1A6CBB	E9223BFB			
314	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	1	270	0	2	6	103	68	95	103	163	8	88.889	563227068	95584750	1587778936	425080518	G	N	D			XR Controller	0F97BA5B	FF1A6CBB	E9223BFB			
315	SubfieldSwap_AperSweep_Ap25_v1	CUED	1	135	90	0	8	83	68	95	103	163	8	88.889	949171763	440709793	1847340743	861980690	G	N	Db			XR Controller	EE15401B	CDC3FBBB	E9223BFB			
316	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	1	180	90	0	8	82	68	95	99	163	4	44.444	1814650079	1881002366	1680305783	1651009906	G	N	Db			XR Controller	96C3B703	CDC3FBBB	E9223BFB			
317	SubfieldSwap_AperSweep_Ap25_v1	CUED	0	180	180	6	4	121	68	95	111	163	16	177.778	337967424	273275841	1509019380	1279377285	R	N	N			XR Controller	63DA52AB	2F6FECFB	E9223BFB			
318	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	0	225	180	6	4	73	68	95	99	163	4	44.444	542189804	842197973	1006389833	488117648	R	N	N			XR Controller	A25A36B3	2F6FECFB	E9223BFB			
319	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	1	90	315	3	3	156	68	95	107	163	12	133.333	536047880	1163715533	92958680	1817783780	R	N	N			XR Controller	7B58D0F3	2F6FECFB	E9223BFB			
320	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	1	45	270	4	2	72	68	95	97	163	2	22.222	2086703567	877971777	941568337	145825568	G	N	N			XR Controller	53C5502F	16FE68BB	E9223BFB			
321	SubfieldSwap_AperSweep_Ap25_v1	CUED	1	0	0	2	6	77	68	95	127	163	32	355.556	520457993	1066741205	501997457	804515988	R	N	Da			XR Controller	6DA6CE8B	18E36AFB	E9223BFB			
322	SubfieldSwap_AperSweep_Ap25_v1	CUED	0	315	315	3	3	83	68	95	127	163	32	355.556	700992500	587077009	127123939	1792451223	R	N	Da			XR Controller	58DE49EB	18E36AFB	E9223BFB			
323	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	1	135	270	4	2	94	68	95	103	163	8	88.889	537847152	2026170820	1771209780	844018883	R	N	N			XR Controller	4AD6A03B	2F6FECFB	E9223BFB			
324	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	1	45	45	1	9	186	68	95	103	163	8	88.889	847677926	2121279942	406659994	1590188726	G	N	N			XR Controller	4AD6A03B	16FE68BB	E9223BFB			
325	SubfieldSwap_AperSweep_Ap25_v1	CUED	1	135	90	0	8	89	68	95	97	163	2	22.222	279225896	495505665	228898627	318928795	G	N	Db			XR Controller	573F96F7	CDC3FBBB	E9223BFB			
326	SubfieldSwap_AperSweep_Ap25_v1	CUED	1	90	90	0	8	74	68	95	103	163	8	88.889	1789142624	2001015623	112500625	2059463485	G	N	Db			XR Controller	EE15401B	CDC3FBBB	E9223BFB			
327	SubfieldSwap_AperSweep_Ap25_v1	CUED	1	270	270	4	2	91	68	95	99	163	4	44.444	159972727	264539823	518229953	309869135	R	N	D			XR Controller	B3F0E633	D81A967B	E9223BFB			
328	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	0	270	45	1	9	71	68	95	97	163	2	22.222	453084001	1861669632	1788179851	402624373	G	N	D			XR Controller	5E04E887	FF1A6CBB	E9223BFB			
329	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	1	315	270	4	2	82	68	95	127	163	32	355.556	62932123	1715222024	1119262494	1059766044	R	N	D			XR Controller	AD455EEB	D81A967B	E9223BFB			
330	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	0	0	45	1	9	123	68	95	127	163	32	355.556	729773885	290443821	2102518198	1691400296	R	N	Db			XR Controller	9181888B	420BC5FB	E9223BFB			
331	SubfieldSwap_AperSweep_Ap25_v1	CUED	1	180	180	6	4	78	68	95	127	163	32	355.556	1286609167	564172800	1133837646	1532248015	R	N	Da			XR Controller	6DA6CE8B	18E36AFB	E9223BFB			
332	SubfieldSwap_AperSweep_Ap25_v1	CUED	0	180	135	7	7	84	68	95	107	163	12	133.333	537804284	916929265	1140429462	675895922	R	N	Da			XR Controller	AE8A1BB3	18E36AFB	E9223BFB			
333	SubfieldSwap_AperSweep_Ap25_v1	CUED	0	315	315	3	3	86	68	95	111	163	16	177.778	570521071	1953453617	1269940394	985032742	G	N	Db			XR Controller	4183012B	CDC3FBBB	E9223BFB			
334	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	1	90	135	7	7	137	68	95	127	163	32	355.556	55531818	1937240026	639730367	851648649	R	N	D			XR Controller	AD455EEB	D81A967B	E9223BFB			
335	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	1	315	225	5	1	62	68	95	97	163	2	22.222	400989085	1159928145	316921660	1806026492	R	N	Da			XR Controller	5EB51C1F	18E36AFB	E9223BFB			
336	SubfieldSwap_AperSweep_Ap25_v1	CUED	1	315	315	3	3	62	68	95	111	163	16	177.778	1906035905	1957438533	663485274	53747891	R	N	N			XR Controller	0717E96B	2F6FECFB	E9223BFB			
337	SubfieldSwap_AperSweep_Ap25_v1	CUED	0	315	225	5	1	59	68	95	97	163	2	22.222	1331843722	1351432548	1235570605	1364477774	R	N	D			XR Controller	0A4E071F	D81A967B	E9223BFB			
338	SubfieldSwap_AperSweep_Ap25_v1	CUED	1	0	0	2	6	63	68	95	117	163	22	244.444	842331243	919100084	788624080	615475327	R	N	Db			XR Controller	CF5FC51F	420BC5FB	E9223BFB			
