Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
76	DepthBothPlanes	CUED	0	315	315	3	3	75	56	78	84	114	204594494	1882417969	145350175	575991822	R	N	N		XR Controller	6CBED730	BC9E36AC	97C666DC			
77	DepthBothPlanes	UNCUED	0	180	225	5	1	71	56	78	84	114	2146178103	743487252	37548556	1673423869	G	F	N		XR Controller	F088AE08	083E616C	888B2CCC			
78	DepthBothPlanes	CUED	1	45	45	1	9	75	56	78	84	114	1265541856	1409476124	567192404	514264620	G	N	N		XR Controller	CB090948	083E616C	97C666DC			
79	DepthBothPlanes	CUED	0	0	0	2	6	76	56	78	84	114	1549766319	927889485	722985992	52365720	G	F	N		XR Controller	6CBED730	083E616C	888B2CCC			
80	DepthBothPlanes	CUED	1	135	135	7	7	78	56	78	84	114	70100519	1377304238	1054842077	1171675925	R	F	N		XR Controller	CB090948	BC9E36AC	888B2CCC			
81	DepthBothPlanes	CUED	1	90	90	0	8	73	56	78	84	114	772617599	1214088286	1136064427	1376979306	R	N	N		XR Controller	CB090948	BC9E36AC	97C666DC			
82	DepthBothPlanes	UNCUED	1	270	225	5	1	96	56	78	84	114	4525449	1492908117	2096406939	370019170	G	N	N		XR Controller	67DD8480	083E616C	97C666DC			
83	DepthBothPlanes	UNCUED	1	225	0	2	6	86	56	78	84	114	1976935057	2084152159	1674435003	1910456138	G	F	N		XR Controller	67DD8480	083E616C	888B2CCC			
84	DepthBothPlanes	CUED	1	225	225	5	1	78	56	78	84	114	1973034047	832284116	1198158463	1360132426	R	N	N		XR Controller	CB090948	BC9E36AC	97C666DC			
85	DepthBothPlanes	CUED	1	90	90	0	8	75	56	78	84	114	486052917	120125573	1864877951	1406030499	G	F	N		XR Controller	CB090948	083E616C	888B2CCC			
86	DepthBothPlanes	UNCUED	0	135	90	0	8	97	56	78	84	114	1532923118	884557631	1780519387	163017248	R	F	N		XR Controller	F088AE08	BC9E36AC	888B2CCC			
87	DepthBothPlanes	UNCUED	1	0	135	7	7	85	56	78	84	114	1250735922	833944502	461510533	2055134226	R	N	N		XR Controller	67DD8480	BC9E36AC	97C666DC			
88	DepthBothPlanes	UNCUED	1	135	90	0	8	91	56	78	84	114	1950162918	1046070287	1494755323	1407302439	G	F	N		XR Controller	67DD8480	083E616C	888B2CCC			
89	DepthBothPlanes	CUED	0	45	45	1	9	68	56	78	84	114	1613391170	279261996	245647986	843828701	R	F	N		XR Controller	6CBED730	BC9E36AC	888B2CCC			
90	DepthBothPlanes	UNCUED	1	270	45	1	9	76	56	78	84	114	1213441396	1915471644	665287969	1439332684	R	N	N		XR Controller	67DD8480	BC9E36AC	97C666DC			
91	DepthBothPlanes	UNCUED	0	225	225	5	1	79	56	78	84	114	1974479701	643847119	1025211657	1108302415	G	F	N		XR Controller	F088AE08	083E616C	888B2CCC			
