Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	SwapType	EndKey	Device	MkHash32	ColorHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes
22	Dots50Swap	UNCUED	1	45	90	0	8	103	56	78	84	114	1046405629	1066012127	515046822	2097579488	G	N		XR Controller	67DD8480	083E616C		
23	Dots50Swap	UNCUED	1	0	135	7	7	142	56	78	84	114	1793733715	1218972921	247818193	2135565862	G	N		XR Controller	67DD8480	083E616C		
24	Dots50Swap	UNCUED	0	0	225	5	1	83	56	78	84	114	1169068762	1522134916	1228257605	620477259	R	N		XR Controller	F088AE08	BC9E36AC		
25	Dots50Swap	CUED	0	270	270	4	2	90	56	78	84	114	499115492	2055925404	623333713	234897002	G	D		XR Controller	CEA60E30	03DC50EC		
26	Dots50Swap	UNCUED	1	90	270	4	2	96	56	78	84	114	1362706860	541921791	342514995	160119040	R	N		XR Controller	67DD8480	BC9E36AC		
27	Dots50Swap	UNCUED	0	90	225	5	1	90	56	78	84	114	1485692364	703072412	25127724	1195146529	R	D		XR Controller	1CE20318	D797592C		
28	Dots50Swap	UNCUED	0	45	45	1	9	94	56	78	84	114	7325577	1576171452	1105938632	1907578101	G	D		XR Controller	1CE20318	03DC50EC		
29	Dots50Swap	UNCUED	0	90	90	0	8	101	56	78	84	114	1638960937	725439607	1607984547	1417727070	R	N		XR Controller	F088AE08	BC9E36AC		
30	Dots50Swap	CUED	0	90	90	0	8	88	56	78	84	114	682914551	1010914848	1391450834	1752341670	R	N		XR Controller	6CBED730	BC9E36AC		
31	Dots50Swap	UNCUED	0	0	225	5	1	86	56	78	84	114	1904455527	1213445015	926472853	1398818376	R	D		XR Controller	1CE20318	D797592C		
32	Dots50Swap	CUED	0	90	135	7	7	196	56	78	84	114	900926110	839293635	123321413	1820509156	R	D		XR Controller	CEA60E30	D797592C		
33	Dots50Swap	UNCUED	1	0	45	1	9	170	56	78	84	114	1227381983	827567991	1721967725	201033246	G	D		XR Controller	E039A330	03DC50EC		
34	Dots50Swap	UNCUED	1	315	135	7	7	98	56	78	84	114	2093500180	251567826	341991312	373954668	G	N		XR Controller	67DD8480	083E616C		
35	Dots50Swap	UNCUED	0	315	0	2	6	112	56	78	84	114	1887979922	642550968	1961822479	747987256	G	D		XR Controller	1CE20318	03DC50EC		
36	Dots50Swap	UNCUED	0	225	180	6	4	95	56	78	84	114	134178582	1926178852	1334073484	1622612592	R	N		XR Controller	F088AE08	BC9E36AC		
37	Dots50Swap	UNCUED	0	45	45	1	9	89	56	78	84	114	1733562127	757124463	532181274	839385926	G	N		XR Controller	F088AE08	083E616C		
38	Dots50Swap	CUED	1	0	0	2	6	129	56	78	84	114	287505896	1336683207	570600269	1906514916	R	D		XR Controller	7BBB5D28	D797592C		
39	Dots50Swap	CUED	0	270	270	4	2	136	56	78	84	114	1996532059	2147404395	1884446897	2654603	R	D		XR Controller	CEA60E30	D797592C		
40	Dots50Swap	CUED	0	180	0	2	6	89	56	78	84	114	569246338	457581054	23525604	542347969	G	N		XR Controller	6CBED730	083E616C		
41	Dots50Swap	CUED	1	180	180	6	4	83	56	78	84	114	1279736450	1944530178	1650830223	200333613	G	N		XR Controller	CB090948	083E616C		
42	Dots50Swap	UNCUED	0	225	225	5	1	87	56	78	84	114	507808665	737402253	137833013	560548084	G	N		XR Controller	F088AE08	083E616C		
43	Dots50Swap	CUED	1	225	225	5	1	101	56	78	84	114	416132162	910309131	625726694	2072324074	R	D		XR Controller	7BBB5D28	D797592C		
44	Dots50Swap	CUED	1	135	135	7	7	81	56	78	84	114	2116977655	2057797942	1481333664	2131172561	R	D		XR Controller	7BBB5D28	D797592C		
45	Dots50Swap	UNCUED	1	315	45	1	9	99	56	78	84	114	1496653556	1459408841	1209835521	2090827545	G	D		XR Controller	E039A330	03DC50EC		
46	Dots50Swap	UNCUED	1	270	315	3	3	96	56	78	84	114	1757030391	1120007680	1007122092	1728391399	R	D		XR Controller	E039A330	D797592C		
47	Dots50Swap	UNCUED	0	135	0	2	6	232	56	78	84	114	235571254	1072986943	1557055130	1429369617	R	N		XR Controller	F088AE08	BC9E36AC		
48	Dots50Swap	CUED	1	45	0	2	6	82	56	78	84	114	106822612	173089156	343203088	1882774569	R	D		XR Controller	7BBB5D28	D797592C		
49	Dots50Swap	UNCUED	1	270	225	5	1	86	56	78	84	114	1516599832	423541980	1313933211	1150480335	G	N		XR Controller	67DD8480	083E616C		
50	Dots50Swap	CUED	1	225	225	5	1	85	56	78	84	114	708782223	510590152	816990688	1876717214	G	N		XR Controller	CB090948	083E616C		
51	Dots50Swap	UNCUED	0	135	135	7	7	87	56	78	84	114	1040884403	1467383940	880997399	2075030950	G	D		XR Controller	1CE20318	03DC50EC		
52	Dots50Swap	UNCUED	1	180	135	7	7	100	56	78	84	114	438709915	942677576	950264958	32674362	G	N		XR Controller	67DD8480	083E616C		
53	Dots50Swap	CUED	0	315	90	0	8	91	56	78	84	114	450029173	440424705	1653061059	1317120014	G	N		XR Controller	6CBED730	083E616C		
54	Dots50Swap	CUED	1	0	315	3	3	94	56	78	84	114	116202659	1587899651	78807632	136961296	R	N		XR Controller	CB090948	BC9E36AC		
55	Dots50Swap	CUED	0	315	0	2	6	85	56	78	84	114	773626902	814336085	1377601722	507690405	G	D		XR Controller	CEA60E30	03DC50EC		
56	Dots50Swap	UNCUED	1	135	90	0	8	88	56	78	84	114	1570811990	735679198	549701519	1984143937	R	D		XR Controller	E039A330	D797592C		
